"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"Modified H&Y"	"Modified H&Y"	"Modified H&Y"	"NA"	"Modified Hoehn and Yahr Stage (combination of ""sub_hoehn_and_yahr"" for PaNUC subjects, ""hoehn_and_yahr_on_notconsensus"" or ""hoehn_and_yahr_off_notconsensus"" for UCLA subjects (off only used when on wasn't available), and ""hoehn_and_yahr_notcons"	"Nominal Code"	"0;1;1.5;2;2.5;3;4;5"		"modified_hy"	"Y"	"yes"	"yes"			"no"	"yes"	"yes"		
"PD Clinical Data Sheet, Part I"	"PaNUC"	"UKBB"	"NA"	"Age at UKBB Administration"	"Numeric"	">=0"	"Years"	"age_ukbb"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"PD Clinical Data Sheet, Part I"	"PaNUC"	"UKBB"	"NA"	"Subject meets UKPDSBB Clinical Diagnostic Criteria"	"Categorical"	"Yes;No;Unknown;Not administered;Unable to complete;Unwilling to complete;Not transcribed;Not Applicable"		"sub_ukpdsbb"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"NA"	"Age at CDR Administration"	"Numeric"	">=0"	"Years"	"age_cdr"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"1"	"Memory Score"	"Nominal Code"	"0;0.5;1;2;3"		"memory"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"2"	"Orientation Score"	"Nominal Code"	"0;0.5;1;2;3"		"nacc_orientation"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"3"	"Judgement & Problem Solving Score"	"Nominal Code"	"0;0.5;1;2;3"		"judgement_cdr"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"4"	"Community Affairs Score"	"Nominal Code"	"0;0.5;1;2;3"		"affairs"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"5"	"Home & Hobbies Score"	"Nominal Code"	"0;0.5;1;2;3"		"home"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"6"	"Personal Care Score"	"Nominal Code"	"0;1;2;3"		"personal_care"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"7"	"Standard CDR"	"Numeric"	"0-18"		"std_cdr"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"8"	"Global CDR"	"Nominal Code"	"0;0.5;1;2;3"		"global_cdr"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"9"	"Behavior Comportment and Personality Score"	"Nominal Code"	"0;0.5;1;2;3"		"behavior"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"10"	"Language Score"	"Nominal Code"	"0;0.5;1;2;3"		"language"		"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"11"	"Supplemental CDR"	"Numeric"	"0-6"		"suppl_cdr"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Clinical Dementia Rating"	"NACC"	"CDR"	"12"	"Standard and Supplemental CDR"	"Numeric"	"0-24"		"std_suppl_cdr"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"NA"	"Age at NACC Hachinski Ischemic Assessment"	"Numeric"	">=0"	"Years"	"age_hach_nacc"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"1"	"Abrupt onset"	"Nominal Code"	"0=Absent; 2=Present"		"abrupt_onset"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"2"	"Stepwise deterioration"	"Nominal Code"	"0=Absent; 1=Present"		"stepwise_deterioration"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"3"	"Somatic complaints"	"Nominal Code"	"0=Absent; 1=Present"		"somatic_complaints"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"4"	"Emotional incontinence"	"Nominal Code"	"0=Absent; 1=Present"		"emotional_incontinence"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"5"	"History or presence of hypertension"	"Nominal Code"	"0=Absent; 1=Present"		"hypertension"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"6"	"History of stroke"	"Nominal Code"	"0=Absent; 2=Present"		"stroke_history"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"7"	"Focal neurological symptoms"	"Nominal Code"	"0=Absent; 2=Present"		"focal_neuro_symptoms"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"8"	"Focal neurological signs"	"Nominal Code"	"0=Absent; 2=Present"		"focal_neuro_signs"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"9"	"Total score"	"Numeric"	"0-12"		"hachinski_total_score_nacc"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"10"	"Do you believe CVD is contributing to cognitive impairment?"	"Nominal Code"	"0=No; 1= Yes"		"cvd_contribution"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"11"	"If there is a stroke, is there a temporal relationship between stroke and onset of cognitive impairment?"	"Nominal Code"	"0=No; 1= Yes"		"stroke_cognitive_related"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12"	"Is there imaging evidence which supports that CVD is contributing to the cognitive impairment?"	"Nominal Code"	"0=No; 1= Yes"		"cvd_imaging"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12a1"	"Single strategic infarct imaging evidence"	"Nominal Code"	"0=No; 1= Yes"		"single_infarct"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12a2"	"Multiple infarcts imaging evidence"	"Nominal Code"	"0=No; 1= Yes"		"multiple_infarcts"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12a3"	"Extensive white matter hyperintensity imaging evidence"	"Nominal Code"	"0=No; 1= Yes"		"white_matter_hyperintensity"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12a4"	"Other imaging evidence"	"Nominal Code"	"0=No; 1= Yes"		"other"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischemic Score"	"NACC"	"NACC Hachinski"	"12a4 specify"	"Other imaging evidence, specify"	"String"	"NA"		"other_specify"		"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischaemia Score"	"ADRC"	"ADRC Hachinski"	"NA"	"Age at ADRC Hachinski Ischemic Assessment"	"Numeric"	">=0"	"Years"	"age_hach_adrc"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Hachinski Ischaemia Score"	"ADRC"	"ADRC Hachinski"	"NA"	"Total Score"	"Numeric"	"0-18"		"hachinski_total_score"		"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"NA"	"Age at NPI Administration"	"Numeric"	">=0"	"Years"	"age_npi"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"A. Total Score"	"Delusions frequency x severity"	"Numeric"	"1-12"		"npi_A_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"B. Total Score"	"Hallucinations frequency x severity"	"Numeric"	"1-12"		"npi_B_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"C. Total Score"	"Agitation/Aggression frequency x severity"	"Numeric"	"1-12"		"npi_C_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"D. Total Score"	"Depression/Dysphoria frequency x severity"	"Numeric"	"1-12"		"npi_D_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"E. Total Score"	"Anxiety frequency x severity"	"Numeric"	"1-12"		"npi_E_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"F. Total Score"	"Elation/Euphoria frequency x severity"	"Numeric"	"1-12"		"npi_F_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"G. Total Score"	"Apathy/Indifference frequency x severity"	"Numeric"	"1-12"		"npi_G_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"H. Total Score"	"Disinhibition frequency x severity"	"Numeric"	"1-12"		"npi_H_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"I. Total Score"	"Irritability/Lability frequency x severity"	"Numeric"	"1-12"		"npi_I_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"J. Total Score"	"Aberrant Motor Behavior frequency x severity"	"Numeric"	"1-12"		"npi_J_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"K. Total Score"	"Sleep difficulty frequency x severity"	"Numeric"	"1-12"		"npi_K_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"L. Total Score"	"Appetite/Eating Disorders frequency x severity"	"Numeric"	"1-12"		"npi_L_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Neuropsychiatric Inventory"	"PaNUC"	"NPI"	"Total Score"	"Sum of the Total Scores from Parts A-L"	"Numeric"	"1-144"		"npi_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"UPDRS Part I"	"MDS"	"New UPDRS"	"NA"	"Age at MDS UPDRS Part 1 Administration"	"Numeric"	">=0"	"Years"	"age_updrs_new1"	"Y"	"yes"	"yes"			"yes"	"no"	"no"		"Clinical visit"
"UPDRS Part I"	"MDS"	"New UPDRS"	"NA"	"Collection Date - MDS UPDRS Part 1"	"Numeric"	"<= Current Date"	"Date"	"collection_date_updrs_new1"		"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part I"	"MDS"	"New UPDRS"	"NA"	"Total MDS UPDRS I score"	"Numeric"	"0-52"		"updrs_new_1_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part II"	"MDS"	"New UPDRS"	"NA"	"Age at MDS UPDRS Part 2 Administration"	"Numeric"	">=0"	"Years"	"age_updrs_new2"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part II"	"MDS"	"New UPDRS"	"NA"	"Total MDS UPDRS II score"	"Numeric"	"0-52"		"updrs_new_2_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part III"	"MDS"	"New UPDRS"	"NA"	"Age at MDS UPDRS Part 3 Administration"	"Numeric"	">=0"	"Years"	"age_updrs_new3"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part III"	"MDS"	"New UPDRS"	"NA"	"Total MDS UPDRS III score"	"Numeric"	"0-132"		"updrs_new_3_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part IV"	"MDS"	"New UPDRS"	"NA"	"Age at MDS UPDRS Part 4 Administration"	"Numeric"	">=0"	"Years"	"age_updrs_new4"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS Part IV"	"MDS"	"New UPDRS"	"NA"	"Total MDS UPDRS IV score"	"Numeric"	"0-24"		"updrs_new_4_total"	"Y"	"yes"	"yes"			"no"	"no"	"no"		"Clinical visit"
"UPDRS"	"PD-DOC/MDS"	"UPDRS"	"NA"	"Combined UPDRS & MDS-UPDRS Part III total (Calculated according to equations in Goetz 2012)"	"Numeric"			"updrs3_total_combo"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"NA"	"Age at Boston Naming Test Administration"	"Numeric"	">=0"	"Years"	"age_boston"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: a"	"Total correct without cue"	"Numeric"	"0-30"		"boston_naming_no_clue"		"yes"	"yes"			"no"	"no"	"yes"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: b"	"Total stimulus cues given"	"Numeric"	"0-30"		"boston_naming_stimulus_cues"		"yes"	"yes"			"no"	"no"	"yes"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: c"	"Total correct with a stimulus cue"	"Numeric"	"0-30"		"boston_naming_correct_w_stimulus"		"yes"	"yes"			"no"	"no"	"yes"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: d"	"Total phonemic cues given"	"Numeric"	"0-30"		"boston_naming_phonemic_cues"		"yes"	"yes"			"no"	"no"	"no"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: e"	"Total correct with a phonemic cue"	"Numeric"	"0-30"		"boston_naming_phonemic_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Boston Naming Test"	"30 Odd-Numbered Items"	"Boston"	"Scoring: f"	"Total Correct"	"Numeric"	"0-30"		"boston_naming_total"		"yes"	"yes"			"yes"	"no"	"yes"		
"Boston Naming Test"	"60 Items"	"Boston"	"NA"	"Boston Naming f. Total Correct (on 60 item test)"	"Numeric"	"0-60"		"boston_naming_total_60"		"no"	"no"	"no"	"no"	"no"	"yes"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Age at BVRT Administration"	"Numeric"	">=0"	"Years"	"age_bvrt"	"Y"	"yes"	"yes"			"no"	"no"	"yes"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Copy Task Total Correct"	"Numeric"	"0-10"	"Correct"	"bvrt_total_correct_copy"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Copy Task Total Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_total_errors_copy"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Copy Task Left Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_left_errors_copy"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Copy Task Right Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_right_errors_copy"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Delayed Total Correct"	"Numeric"	"0-10"	"Correct"	"bvrt_total_correct_delayed"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Delayed Total Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_total_errors_delayed"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Delayed Left Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_left_errors_delayed"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Delayed Right Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_right_errors_delayed"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Immidiate Recall Total Correct"	"Numeric"	"0-10"	"Correct"	"bvrt_total_correct_imm"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Immidiate Recall Total Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_total_errors_imm"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Immidiate Recall Left Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_left_errors_imm"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Immidiate Recall Right Errors"	"Numeric"	"0-24"	"Errors"	"bvrt_right_errors_imm"		"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Total Correct Answers for all Sections"	"Numeric"	"0-30"	"Correct"	"bvrt_total_correct"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Total Errors for all Sections"	"Numeric"	"0-72"	"Errors"	"bvrt_total_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Total Left Errors for all Sections"	"Numeric"	"0-72"	"Errors"	"bvrt_left_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form C, Administrations A, B, & C"	"BVRT"	"NA"	"Total Right Errors for all Sections"	"Numeric"	"0-72"	"Errors"	"bvrt_right_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Benton Visual Retention Test"	"Form F, Administration M"	"BVRT"	"NA"	"Total Correct on Form F Administration M"	"Numeric"	"0-15"	"Correct"	"bvrt_total_correct_FM"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Age at Digit Span Administration"	"Numeric"	">=0"	"Years"	"age_dig_span"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Digit span forward total correct"	"Numeric"	"0-12"	"number correct"	"digits_forward"		"yes"	"yes"			"yes"	"no"	"no"		
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Digit span forward length"	"Numeric"	"0-8"	"number of digits"	"digits_length"		"yes"	"yes"			"yes"	"no"	"no"		
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Digit span backward total correct"	"Numeric"	"0-12"	"number correct"	"digits_backward"		"yes"	"yes"			"yes"	"no"	"no"		
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Digit span backward length"	"Numeric"	"0-7"	"number of digits"	"digits_backward_length"		"yes"	"yes"			"yes"	"no"	"no"		
